384	174	23
93	91	68
391	174	23
149	80	80
147	79	80
86	73	68
404	182	23
90	88	68
150	83	80
154	83	80
146	82	80
90	72	68
149	79	80
89	72	68
152	82	80
148	78	80
147	78	80
90	61	68
393	175	23
145	80	80
151	79	80
90	89	68
91	85	68
150	80	80
389	182	23
89	90	68
149	78	80
413	182	23
396	183	23
152	83	80
397	183	23
148	79	80
147	81	80
91	90	68
89	80	68
390	174	23
391	176	23
151	78	80
394	176	23
392	177	23
90	91	68
144	79	80
146	80	80
150	79	80
89	89	68
391	175	23
93	90	68
151	80	80
392	176	23
153	83	80
89	73	68
148	81	80
396	177	23
