150	83	80
154	83	80
153	83	80
153	83	80
153	83	80
152	83	80
152	83	80
152	82	80
150	80	80
150	80	80
149	80	80
148	81	80
146	80	80
147	81	80
147	81	80
147	81	80
146	82	80
147	81	80
146	80	80
145	80	80
147	79	80
147	78	80
147	78	80
147	78	80
147	78	80
148	78	80
148	78	80
149	78	80
149	78	80
150	79	80
150	79	80
151	79	80
151	79	80
151	79	80
151	80	80
151	78	80
151	78	80
149	79	80
148	79	80
148	78	80
144	79	80
93	91	68
93	90	68
91	85	68
91	90	68
91	90	68
90	91	68
90	91	68
89	90	68
89	80	68
89	89	68
90	89	68
90	89	68
90	88	68
90	72	68
90	61	68
90	72	68
89	73	68
89	72	68
86	73	68
384	174	23
390	174	23
390	174	23
391	174	23
390	174	23
390	174	23
391	175	23
391	174	23
393	175	23
391	176	23
392	177	23
392	176	23
394	176	23
396	177	23
396	183	23
397	183	23
413	182	23
404	182	23
389	182	23
